Year,ISO3,population
1993,COD,39931627.0
1994,COD,41381046.0
1995,COD,43872705.0
1996,COD,44994704.0
1997,COD,45597543.0
1998,COD,46462261.0
1999,COD,48132939.0
2000,COD,49693003.0
2001,COD,51321880.0
2002,COD,52943412.0
2003,COD,54557637.0
2004,COD,56130097.0
2005,COD,57865385.0
2006,COD,59686064.0
2007,COD,61545751.0
2008,COD,63409753.0
2009,COD,65371574.0
2010,COD,67452514.0
2011,COD,69673561.0
2012,COD,72025062.0
2013,COD,74484175.0
2014,COD,77094615.0
2015,COD,79711869.0
2016,COD,82359193.0
2017,COD,85553637.0
2018,COD,88613159.0
2019,COD,91482128.0
2020,COD,94412756.0
2021,COD,97567240.0
2022,COD,100730624.0
2023,COD,104063312.0
2024,COD,107516151.0
2025,COD,111036378.0
2026,COD,114628568.0
2027,COD,118275755.0
2028,COD,121983737.0
2029,COD,125759362.0
2030,COD,129588918.0
2031,COD,133475484.0
2032,COD,137419507.0
2033,COD,141397718.0
2034,COD,145430343.0
2035,COD,149505928.0
2036,COD,153614277.0
2037,COD,157764633.0
2038,COD,161932518.0
2039,COD,166158701.0
2040,COD,170434688.0
2041,COD,174756476.0
2042,COD,179136049.0
2043,COD,183564761.0
2044,COD,188045567.0
2045,COD,192578436.0
2046,COD,197152322.0
2047,COD,201776647.0
2048,COD,206435207.0
2049,COD,211132180.0
2050,COD,215863204.0
2051,COD,220628940.0
2052,COD,225426974.0
2053,COD,230247053.0
2054,COD,235082781.0
2055,COD,239933750.0
2056,COD,244788685.0
2057,COD,249646864.0
2058,COD,254505958.0
2059,COD,259374761.0
2060,COD,264246434.0
2061,COD,269111833.0
2062,COD,273967566.0
2063,COD,278805132.0
2064,COD,283624158.0
2065,COD,288415945.0
2066,COD,293189683.0
2067,COD,297943043.0
2068,COD,302671007.0
2069,COD,307377716.0
2070,COD,312056832.0
2071,COD,316707788.0
2072,COD,321308259.0
2073,COD,325885839.0
2074,COD,330416954.0
2075,COD,334920913.0
2076,COD,339377058.0
2077,COD,343806854.0
2078,COD,348188805.0
2079,COD,352524751.0
2080,COD,356803113.0
2081,COD,361038181.0
2082,COD,365216963.0
2083,COD,369355769.0
2084,COD,373454348.0
2085,COD,377498419.0
2086,COD,381468963.0
2087,COD,385379454.0
2088,COD,389211985.0
2089,COD,392977687.0
2090,COD,396673088.0
2091,COD,400288753.0
2092,COD,403829760.0
2093,COD,407279249.0
2094,COD,410661791.0
2095,COD,413982254.0
2096,COD,417213233.0
2097,COD,420349853.0
2098,COD,423403756.0
2099,COD,426392562.0
2100,COD,429293088.0
2101,COD,432125803.0
1950,COG,826239.0
1951,COG,844284.0
1952,COG,862986.0
1953,COG,882377.0
1954,COG,902554.0
1955,COG,923480.0
1956,COG,945383.0
1957,COG,968264.0
1958,COG,992133.0
1959,COG,1017122.0
1960,COG,1043188.0000000001
1961,COG,1070275.0
1962,COG,1098504.0
1963,COG,1127846.0
1964,COG,1158680.0
1965,COG,1190953.0
1966,COG,1224808.0
1967,COG,1260261.0
1968,COG,1297122.0
1969,COG,1335916.0
1970,COG,1376449.0
1971,COG,1418826.0
1972,COG,1463252.0
1973,COG,1509685.0
1974,COG,1557676.0
1975,COG,1606926.0
1976,COG,1647137.0
1977,COG,1687313.0
1978,COG,1727822.0
1979,COG,1768355.0
1980,COG,1808693.0
1981,COG,1849276.0
1982,COG,1890242.0
1983,COG,1930619.0
1984,COG,1970022.0
1985,COG,2029035.0
1986,COG,2089588.0000000002
1987,COG,2151617.0
1988,COG,2215329.0
1989,COG,2279976.0
1990,COG,2347140.0
1991,COG,2413980.0
1992,COG,2484479.0
1993,COG,2554452.0
1994,COG,2635796.0
1995,COG,2710493.0
1996,COG,2788428.0
1997,COG,2865141.0
1998,COG,2910583.0
1999,COG,2993540.0
2000,COG,3072207.0
2001,COG,3230484.0
2002,COG,3314591.0
2003,COG,3386950.0
2004,COG,3504555.0
2005,COG,3626553.0
2006,COG,3766233.0
2007,COG,3908585.0
2008,COG,4052275.0
2009,COG,4174760.0
2010,COG,4387678.0
2011,COG,4536902.0
2012,COG,4682546.0
2013,COG,4798354.0
2014,COG,4915844.0
2015,COG,5035916.0
2016,COG,5159245.0
2017,COG,5285827.0
2018,COG,5416195.0
2019,COG,5550041.0
2020,COG,5683281.0
2021,COG,5822300.0
2022,COG,5962066.0
2023,COG,6108142.0
2024,COG,6257628.0
2025,COG,6408294.0
2026,COG,6560580.0
2027,COG,6714991.0
2028,COG,6873597.0
2029,COG,7034348.0
2030,COG,7198578.0
2031,COG,7365955.0
2032,COG,7538864.0
2033,COG,7714090.0
2034,COG,7891908.0
2035,COG,8070780.0
2036,COG,8250684.999999999
2037,COG,8432738.0
2038,COG,8616865.0
2039,COG,8802586.0
2040,COG,8989762.0
2041,COG,9178181.0
2042,COG,9371138.0
2043,COG,9562381.0
2044,COG,9755302.0
2045,COG,9945712.0
2046,COG,10138090.0
2047,COG,10330653.0
2048,COG,10525171.0
2049,COG,10717627.0
2050,COG,10909683.0
2051,COG,11103260.0
2052,COG,11297638.0
2053,COG,11491443.0
2054,COG,11685962.0
2055,COG,11881564.0
2056,COG,12073945.0
2057,COG,12267632.0
2058,COG,12461171.0
2059,COG,12655787.0
2060,COG,12852248.0
2061,COG,13049311.0
2062,COG,13247672.0
2063,COG,13449817.0
2064,COG,13648760.0
2065,COG,13846142.0
2066,COG,14044151.0
2067,COG,14243561.0
2068,COG,14438236.0
2069,COG,14634366.0
2070,COG,14832904.0
2071,COG,15027017.0
2072,COG,15221252.0
2073,COG,15414171.0
2074,COG,15606195.0
2075,COG,15794238.0
2076,COG,15983095.0
2077,COG,16165845.0
2078,COG,16348577.0
2079,COG,16532517.0
2080,COG,16711999.0
2081,COG,16892554.0
2082,COG,17067973.0
2083,COG,17248278.0
2084,COG,17424351.0
2085,COG,17598736.0
2086,COG,17768647.0
2087,COG,17940563.0
2088,COG,18110385.0
2089,COG,18280633.0
2090,COG,18443996.0
2091,COG,18607134.0
2092,COG,18767582.0
2093,COG,18926407.0
2094,COG,19080126.0
2095,COG,19230992.0
2096,COG,19380246.0
2097,COG,19528079.0
2098,COG,19673154.0
2099,COG,19817761.0
2100,COG,19957138.0
2101,COG,20094150.0
1950,COK,14490.0
1951,COK,14895.0
1952,COK,15213.0
1953,COK,15466.0
1954,COK,15750.0
1955,COK,16024.999999999998
1956,COK,16309.999999999998
1957,COK,16557.0
1958,COK,16817.0
1959,COK,17119.0
1960,COK,17466.0
1961,COK,17857.0
1962,COK,18220.0
1963,COK,18348.0
1964,COK,18497.0
1965,COK,18674.0
1966,COK,18885.0
1967,COK,19145.0
1968,COK,19508.0
1969,COK,19878.0
1970,COK,20285.0
1971,COK,20692.0
1972,COK,21046.0
1973,COK,20493.0
1974,COK,19883.0
1975,COK,19233.0
1976,COK,18560.0
1977,COK,17936.0
1978,COK,17885.0
1979,COK,17814.0
1980,COK,17742.0
1981,COK,17651.0
1982,COK,17558.0
1983,COK,17384.0
1984,COK,17175.0
1985,COK,16950.0
1986,COK,16714.0
1987,COK,16489.0
1988,COK,16666.0
1989,COK,16839.0
1990,COK,17024.0
1991,COK,17216.0
1992,COK,17403.0
1993,COK,17538.0
1994,COK,17645.0
1995,COK,17733.0
1996,COK,17829.0
1997,COK,17882.0
1998,COK,17362.0
1999,COK,16796.0
2000,COK,16171.0
2001,COK,15538.0
2002,COK,14932.0
2003,COK,15003.0
2004,COK,15051.0
2005,COK,15104.0
2006,COK,15159.0
2007,COK,15253.0
2008,COK,15737.0
2009,COK,16225.000000000002
2010,COK,16725.0
2011,COK,17227.0
2012,COK,17683.0
2013,COK,17639.0
2014,COK,17571.0
2015,COK,17494.0
2016,COK,17398.0
2017,COK,17267.0
2018,COK,16827.0
2019,COK,16366.0
2020,COK,15892.0
2021,COK,15395.0
2022,COK,14970.0
2023,COK,14477.0
2024,COK,13967.0
2025,COK,13491.0
2026,COK,13035.0
2027,COK,12617.0
2028,COK,12251.0
2029,COK,11923.0
2030,COK,11623.0
2031,COK,11368.0
2032,COK,11153.0
2033,COK,10958.0
2034,COK,10781.0
2035,COK,10621.0
2036,COK,10454.0
2037,COK,10317.0
2038,COK,10204.0
2039,COK,10081.0
2040,COK,10000.0
2041,COK,9893.0
2042,COK,9825.0
2043,COK,9772.0
2044,COK,9715.0
2045,COK,9656.0
2046,COK,9595.0
2047,COK,9544.0
2048,COK,9478.0
2049,COK,9430.0
2050,COK,9367.0
2051,COK,9307.0
2052,COK,9245.0
2053,COK,9176.0
2054,COK,9102.0
2055,COK,9032.0
2056,COK,8956.0
2057,COK,8885.0
2058,COK,8815.0
2059,COK,8744.0
2060,COK,8679.0
2061,COK,8610.0
2062,COK,8538.0
2063,COK,8479.0
2064,COK,8427.0
2065,COK,8379.0
2066,COK,8328.0
2067,COK,8291.0
2068,COK,8253.0
2069,COK,8235.0
2070,COK,8204.0
2071,COK,8178.000000000001
2072,COK,8170.0
2073,COK,8162.000000000001
2074,COK,8159.000000000001
2075,COK,8156.000000000001
2076,COK,8151.999999999999
2077,COK,8150.0
2078,COK,8151.0
2079,COK,8154.0
2080,COK,8160.0
2081,COK,8161.0
2082,COK,8163.0
2083,COK,8164.999999999999
2084,COK,8167.999999999999
2085,COK,8170.999999999999
2086,COK,8169.000000000001
2087,COK,8170.0
2088,COK,8164.0
2089,COK,8156.000000000001
2090,COK,8143.000000000001
2091,COK,8135.0
2092,COK,8116.0
2093,COK,8096.0
2094,COK,8082.000000000001
2095,COK,8061.0
2096,COK,8032.0
2097,COK,8007.999999999999
2098,COK,7986.0
2099,COK,7956.0
2100,COK,7918.0
2101,COK,7889.0
1950,COL,11614844.0
1951,COL,11919132.0
1952,COL,12238482.0
1953,COL,12573202.0
1954,COL,12918868.0
1955,COL,13282810.0
1956,COL,13663310.0
1957,COL,14060292.0
1958,COL,14480249.0
1959,COL,14906325.0
1960,COL,15366105.0
1961,COL,15846313.0
1962,COL,16344093.0
1963,COL,16853964.0
1964,COL,17373683.0
1965,COL,17901139.0
1966,COL,18436960.0
1967,COL,18968415.0
1968,COL,19502820.0
1969,COL,20030772.0
1970,COL,20553112.0
1971,COL,21070452.0
1972,COL,21567741.0
1973,COL,22071385.0
1974,COL,22579363.0
1975,COL,23087575.0
1976,COL,23601714.0
1977,COL,24115907.0
1978,COL,24671081.0
1979,COL,25229592.0
1980,COL,25801660.0
1981,COL,26407335.0
1982,COL,27019199.0
1983,COL,27657462.0
1984,COL,28318884.0
1985,COL,28966495.0
1986,COL,29570446.0
1987,COL,30187779.0
1988,COL,30811156.0
1989,COL,31449892.0
1990,COL,32102665.0
1991,COL,32777472.0
1992,COL,33419273.0
1993,COL,34101870.0
1994,COL,34781076.0
1995,COL,35473743.0
1996,COL,36135582.0
1997,COL,36789908.0
1998,COL,37452391.0
1999,COL,38131939.0
2000,COL,38777787.0
2001,COL,39402081.0
2002,COL,40016444.0
2003,COL,40632916.0
2004,COL,41241942.0
2005,COL,41844401.0
2006,COL,42413553.0
2007,COL,42968614.0
2008,COL,43502133.0
2009,COL,44015484.0
2010,COL,44527597.0
2011,COL,45027041.0
2012,COL,45492187.0
2013,COL,45939433.0
2014,COL,46363736.0
2015,COL,46767121.0
2016,COL,47172760.0
2017,COL,47702264.0
2018,COL,48559892.0
2019,COL,49489039.0
2020,COL,50326931.0
2021,COL,50933064.0
2022,COL,51443283.0
2023,COL,52032604.0
2024,COL,52609701.0
2025,COL,53163026.0
2026,COL,53688245.0
2027,COL,54184207.0
2028,COL,54660324.0
2029,COL,55109908.0
2030,COL,55535344.0
2031,COL,55937606.0
2032,COL,56314321.0
2033,COL,56666676.0
2034,COL,56997845.0
2035,COL,57305379.0
2036,COL,57586127.0
2037,COL,57847603.0
2038,COL,58082989.0
2039,COL,58297166.0
2040,COL,58491447.0
2041,COL,58661444.0
2042,COL,58812326.0
2043,COL,58943930.0
2044,COL,59056785.0
2045,COL,59152395.0
2046,COL,59229251.0
2047,COL,59290268.0
2048,COL,59335999.0
2049,COL,59366507.0
2050,COL,59383512.0
2051,COL,59387201.0
2052,COL,59378719.0
2053,COL,59357853.0
2054,COL,59325151.0
2055,COL,59280839.0
2056,COL,59224875.0
2057,COL,59157808.0
2058,COL,59079529.0
2059,COL,58989930.0
2060,COL,58889423.0
2061,COL,58777459.0
2062,COL,58654541.0
2063,COL,58519586.0
2064,COL,58373771.0
2065,COL,58215729.0
2066,COL,58046381.0
2067,COL,57863979.0
2068,COL,57669405.0
2069,COL,57462501.0
2070,COL,57244105.0
2071,COL,57012856.0
2072,COL,56769717.0
2073,COL,56514943.0
2074,COL,56249180.0
2075,COL,55971864.0
2076,COL,55684114.0
2077,COL,55386022.0
2078,COL,55077840.0
2079,COL,54760060.0
2080,COL,54434805.0
2081,COL,54101122.0
2082,COL,53760655.0
2083,COL,53413093.0
2084,COL,53060146.0
2085,COL,52702118.0
2086,COL,52339749.0
2087,COL,51973853.0
2088,COL,51604542.0
2089,COL,51232595.0
2090,COL,50860393.0
2091,COL,50488608.0
2092,COL,50117763.0
2093,COL,49748249.0
2094,COL,49380412.0
2095,COL,49014964.0
2096,COL,48653973.0
2097,COL,48297988.0
2098,COL,47944986.0
2099,COL,47595548.0
2100,COL,47250735.0
2101,COL,46910792.0
1950,COM,159959.0
1951,COM,163917.0
1952,COM,167149.0
1953,COM,170803.0
1954,COM,174397.0
1955,COM,177880.0
1956,COM,181293.0
1957,COM,184622.0
1958,COM,188510.0
1959,COM,192616.0
1960,COM,195955.0
1961,COM,199445.0
1962,COM,202957.0
1963,COM,206446.0
1964,COM,209925.0
1965,COM,213364.0
1966,COM,216570.0
1967,COM,220756.0
1968,COM,226963.0
1969,COM,233526.0
1970,COM,240476.0
1971,COM,247893.0
1972,COM,255837.0
1973,COM,264316.0
1974,COM,273323.0
1975,COM,282827.0
1976,COM,292558.0
1977,COM,302518.0
1978,COM,312639.0
1979,COM,322737.0
1980,COM,332845.0
1981,COM,342597.0
1982,COM,352168.0
1983,COM,362110.0
1984,COM,372356.0
1985,COM,382917.0
1986,COM,393787.0
1987,COM,404849.0
1988,COM,416029.0
1989,COM,427344.0
1990,COM,438862.0
1991,COM,450331.0
1992,COM,460781.0
1993,COM,469444.0
1994,COM,477920.0
1995,COM,486365.0
1996,COM,494807.0
1997,COM,503407.0
1998,COM,512148.0
1999,COM,521047.0
2000,COM,530726.0
2001,COM,541433.0
2002,COM,553007.0
2003,COM,564840.0
2004,COM,574755.0
2005,COM,586653.0
2006,COM,598701.0
2007,COM,610805.0
2008,COM,623048.0
2009,COM,635566.0
2010,COM,648329.0
2011,COM,661343.0
2012,COM,674769.0
2013,COM,688490.0
2014,COM,703895.0
2015,COM,719110.0
2016,COM,734254.0
2017,COM,749228.0
2018,COM,764111.0
2019,COM,779069.0
2020,COM,794087.0
2021,COM,810240.0
2022,COM,826109.0
2023,COM,842267.0
2024,COM,858507.0
2025,COM,874749.0
2026,COM,890946.0
2027,COM,907074.0
2028,COM,923274.0
2029,COM,939588.0
2030,COM,956026.0
2031,COM,972503.0
2032,COM,989048.0
2033,COM,1005651.0
2034,COM,1022472.0
2035,COM,1039267.0
2036,COM,1056259.0
2037,COM,1073443.0
2038,COM,1090555.0
2039,COM,1107741.0
2040,COM,1125099.0
2041,COM,1142457.0
2042,COM,1159841.0
2043,COM,1177182.0
2044,COM,1194736.0
2045,COM,1212353.0
2046,COM,1229791.0
2047,COM,1247118.0
2048,COM,1264304.0
2049,COM,1281772.0
2050,COM,1298966.0
2051,COM,1316150.0
2052,COM,1333221.0
2053,COM,1350219.0
2054,COM,1366859.0
2055,COM,1383330.0
2056,COM,1399670.0
2057,COM,1415781.0
2058,COM,1431694.0
2059,COM,1447455.0
2060,COM,1463101.0
2061,COM,1478617.0
2062,COM,1493980.0
2063,COM,1508924.0
2064,COM,1523832.0
2065,COM,1538588.0
2066,COM,1553138.0
2067,COM,1567614.0
2068,COM,1581971.0
2069,COM,1596055.0
2070,COM,1609854.0
2071,COM,1623330.0
2072,COM,1636911.0
2073,COM,1650175.0
2074,COM,1663251.0
2075,COM,1676093.0
2076,COM,1688866.0
2077,COM,1701407.0
2078,COM,1713524.0
2079,COM,1725447.0
2080,COM,1736885.0
2081,COM,1748173.0
2082,COM,1759186.0
2083,COM,1770032.0
2084,COM,1780762.0
2085,COM,1791015.0
2086,COM,1800855.0
2087,COM,1810558.0
2088,COM,1819780.0
2089,COM,1828840.0
2090,COM,1837617.0
2091,COM,1846117.0
2092,COM,1854277.0
2093,COM,1862043.0
2094,COM,1869425.0
2095,COM,1876670.0
2096,COM,1883707.0
2097,COM,1890254.0
2098,COM,1896668.0
2099,COM,1902624.0
2100,COM,1908335.0
2101,COM,1913733.0
1950,CPV,183891.0
1951,CPV,186054.0
1952,CPV,188343.0
1953,CPV,190521.0
1954,CPV,192570.0
1955,CPV,194527.0
1956,CPV,196702.0
1957,CPV,198993.0
1958,CPV,201578.0
1959,CPV,204600.0
1960,CPV,208108.0
1961,CPV,211941.0
1962,CPV,218233.0
1963,CPV,225605.0
1964,CPV,233140.0
1965,CPV,240872.0
1966,CPV,248840.0
1967,CPV,257111.0
1968,CPV,265698.0
1969,CPV,274630.0
1970,CPV,283865.0
1971,CPV,291905.0
1972,CPV,296188.0
1973,CPV,298584.0
1974,CPV,301178.0
1975,CPV,303962.0
1976,CPV,307732.0
1977,CPV,311178.0
1978,CPV,314489.0
1979,CPV,317806.0
1980,CPV,321154.0
1981,CPV,325448.0
1982,CPV,330244.0
1983,CPV,335204.0
1984,CPV,340103.0
1985,CPV,344907.0
1986,CPV,349823.0
1987,CPV,354800.0
1988,CPV,359804.0
1989,CPV,364853.0
1990,CPV,370754.0
1991,CPV,380103.0
1992,CPV,389069.0
1993,CPV,397761.0
1994,CPV,406169.0
1995,CPV,414286.0
1996,CPV,421923.0
1997,CPV,429239.0
1998,CPV,436356.0
1999,CPV,443211.0
2000,CPV,449828.0
2001,CPV,456807.0
2002,CPV,463779.0
2003,CPV,470313.0
2004,CPV,476453.0
2005,CPV,482286.0
2006,CPV,487945.0
2007,CPV,493510.0
2008,CPV,498869.0
2009,CPV,503841.0
2010,CPV,508441.0
2011,CPV,511128.0
2012,CPV,511765.0
2013,CPV,512145.0
2014,CPV,512304.99999999994
2015,CPV,512346.0
2016,CPV,512441.00000000006
2017,CPV,512668.0
2018,CPV,513118.00000000006
2019,CPV,513712.0
2020,CPV,514496.0
2021,CPV,514863.00000000006
2022,CPV,518434.99999999994
2023,CPV,521047.0
2024,CPV,523614.00000000006
2025,CPV,526140.0
2026,CPV,528511.0
2027,CPV,530748.0
2028,CPV,532995.0
2029,CPV,535235.0
2030,CPV,537460.0
2031,CPV,539768.0
2032,CPV,541759.0
2033,CPV,543831.0
2034,CPV,545685.0
2035,CPV,547619.0
2036,CPV,549563.0
2037,CPV,551385.0
2038,CPV,553189.0
2039,CPV,554974.0
2040,CPV,556620.0
2041,CPV,558128.0
2042,CPV,559508.0
2043,CPV,560766.0
2044,CPV,561928.0
2045,CPV,562999.0
2046,CPV,563954.0
2047,CPV,564754.0
2048,CPV,565288.0
2049,CPV,565727.0
2050,CPV,566068.0
2051,CPV,566200.0
2052,CPV,566202.0
2053,CPV,566087.0
2054,CPV,565735.0
2055,CPV,565074.0
2056,CPV,564250.0
2057,CPV,563318.0
2058,CPV,562169.0
2059,CPV,560850.0
2060,CPV,559258.0
2061,CPV,557599.0
2062,CPV,555721.0
2063,CPV,553641.0
2064,CPV,551501.0
2065,CPV,549307.0
2066,CPV,546922.0
2067,CPV,544333.0
2068,CPV,541548.0
2069,CPV,538779.0
2070,CPV,535875.0
2071,CPV,532937.0
2072,CPV,530081.0
2073,CPV,527043.0
2074,CPV,523912.00000000006
2075,CPV,520668.0
2076,CPV,517282.00000000006
2077,CPV,513823.99999999994
2078,CPV,510341.0
2079,CPV,506768.0
2080,CPV,502981.0
2081,CPV,499123.0
2082,CPV,495171.0
2083,CPV,491158.0
2084,CPV,487186.0
2085,CPV,483042.0
2086,CPV,478869.0
2087,CPV,474700.0
2088,CPV,470490.0
2089,CPV,466253.0
2090,CPV,461884.0
2091,CPV,457585.0
2092,CPV,453303.0
2093,CPV,449017.0
2094,CPV,444661.0
2095,CPV,440337.0
2096,CPV,436028.0
2097,CPV,431782.0
2098,CPV,427516.0
2099,CPV,423318.0
2100,CPV,419053.0
2101,CPV,414828.0
1950,CRI,911377.0
1951,CRI,942139.0
1952,CRI,974679.0
1953,CRI,1008908.0
1954,CRI,1045103.0000000001
1955,CRI,1083134.0
1956,CRI,1122964.0
1957,CRI,1164730.0
1958,CRI,1208537.0
1959,CRI,1254565.0
1960,CRI,1302611.0
1961,CRI,1352381.0
1962,CRI,1403459.0
1963,CRI,1455431.0
1964,CRI,1507777.0
1965,CRI,1560143.0
1966,CRI,1612273.0
1967,CRI,1663959.0
1968,CRI,1715086.0
1969,CRI,1764376.0
1970,CRI,1814177.0
1971,CRI,1863721.0
1972,CRI,1913357.0
1973,CRI,1963139.0
1974,CRI,2013548.0
1975,CRI,2065739.0
1976,CRI,2119699.0
1977,CRI,2175850.0
1978,CRI,2234200.0
1979,CRI,2294821.0
1980,CRI,2358159.0
1981,CRI,2423108.0
1982,CRI,2490166.0
1983,CRI,2559446.0
1984,CRI,2630860.0
1985,CRI,2704329.0
1986,CRI,2779459.0
1987,CRI,2854974.0
1988,CRI,2930424.0
1989,CRI,3005782.0
1990,CRI,3081872.0
1991,CRI,3161540.0
1992,CRI,3242812.0
1993,CRI,3325704.0
1994,CRI,3409163.0
1995,CRI,3493080.0
1996,CRI,3577272.0
1997,CRI,3660754.0
1998,CRI,3742668.0
1999,CRI,3823009.0
2000,CRI,3901193.0
2001,CRI,3974285.0
2002,CRI,4043609.0
2003,CRI,4107801.0000000005
2004,CRI,4169768.0
2005,CRI,4230387.0
2006,CRI,4292093.0
2007,CRI,4350586.0
2008,CRI,4409909.0
2009,CRI,4470202.0
2010,CRI,4529380.0
2011,CRI,4582544.0
2012,CRI,4637122.0
2013,CRI,4690745.0
2014,CRI,4741549.0
2015,CRI,4792689.0
2016,CRI,4843388.0
2017,CRI,4890607.0
2018,CRI,4935747.0
2019,CRI,4979889.0
2020,CRI,5019218.0
2021,CRI,5049422.0
2022,CRI,5070553.0
2023,CRI,5092976.0
2024,CRI,5118075.0
2025,CRI,5141745.0
2026,CRI,5164155.0
2027,CRI,5185423.0
2028,CRI,5205687.0
2029,CRI,5224820.0
2030,CRI,5242941.0
2031,CRI,5260052.0
2032,CRI,5276216.0
2033,CRI,5291399.0
2034,CRI,5305627.0
2035,CRI,5318696.0
2036,CRI,5330701.0
2037,CRI,5341577.0
2038,CRI,5351243.0
2039,CRI,5359793.0
2040,CRI,5366934.0
2041,CRI,5372678.0
2042,CRI,5377194.0
2043,CRI,5380149.0
2044,CRI,5381680.0
2045,CRI,5381765.0
2046,CRI,5380272.0
2047,CRI,5377244.0
2048,CRI,5372658.0
2049,CRI,5366495.0
2050,CRI,5358806.0
2051,CRI,5349495.0
2052,CRI,5338629.0
2053,CRI,5326101.0
2054,CRI,5312022.0
2055,CRI,5296582.0
2056,CRI,5279805.0
2057,CRI,5261677.0
2058,CRI,5242406.0
2059,CRI,5221991.0
2060,CRI,5200524.0
2061,CRI,5177863.0
2062,CRI,5154342.0
2063,CRI,5130060.0
2064,CRI,5104742.0
2065,CRI,5078730.0
2066,CRI,5051840.0
2067,CRI,5024259.0
2068,CRI,4996052.0
2069,CRI,4966940.0
2070,CRI,4936897.0
2071,CRI,4906101.0
2072,CRI,4874456.0
2073,CRI,4841941.0
2074,CRI,4808572.0
2075,CRI,4774319.0
2076,CRI,4739350.0
2077,CRI,4703651.0
2078,CRI,4667143.0
2079,CRI,4629971.0
2080,CRI,4592119.0
2081,CRI,4553735.0
2082,CRI,4514732.0
2083,CRI,4475296.0
2084,CRI,4435514.0
2085,CRI,4395357.0
2086,CRI,4354909.0
2087,CRI,4314249.0
2088,CRI,4273446.0
2089,CRI,4232665.0
2090,CRI,4191854.9999999995
2091,CRI,4151064.9999999995
2092,CRI,4110394.0
2093,CRI,4069938.0
2094,CRI,4029735.0
2095,CRI,3989858.0
2096,CRI,3950218.0
2097,CRI,3910953.0
2098,CRI,3872046.0
2099,CRI,3833559.0
2100,CRI,3795407.0
2101,CRI,3757540.0
1950,CUB,5865903.0
1951,CUB,5983119.0
1952,CUB,6101282.0
1953,CUB,6223067.0
1954,CUB,6348430.0
1955,CUB,6477267.0
1956,CUB,6608933.0
1957,CUB,6743171.0
1958,CUB,6880283.0
1959,CUB,7020296.0
1960,CUB,7164367.0
1961,CUB,7311795.0
1962,CUB,7462439.0
1963,CUB,7619757.0
1964,CUB,7783563.0
1965,CUB,7948476.0
1966,CUB,8113119.0
1967,CUB,8273781.000000001
1968,CUB,8431469.0
1969,CUB,8587574.0
1970,CUB,8745707.0
1971,CUB,8903058.0
1972,CUB,9055112.0
1973,CUB,9192670.0
1974,CUB,9317987.0
1975,CUB,9430378.0
1976,CUB,9529073.0
1977,CUB,9613410.0
1978,CUB,9683469.0
1979,CUB,9740491.0
1980,CUB,9786220.0
1981,CUB,9823371.0
1982,CUB,9875270.0
1983,CUB,9950091.0
1984,CUB,10031961.0
1985,CUB,10114637.0
1986,CUB,10199818.0
1987,CUB,10288676.0
1988,CUB,10382008.0
1989,CUB,10483161.0
1990,CUB,10583325.0
1991,CUB,10680274.0
1992,CUB,10755006.0
1993,CUB,10816597.0
1994,CUB,10865465.0
1995,CUB,10906577.0
1996,CUB,10944147.0
1997,CUB,10979873.0
1998,CUB,11015995.0
1999,CUB,11053430.0
2000,CUB,11091031.0
2001,CUB,11127186.0
2002,CUB,11161078.0
2003,CUB,11193758.0
2004,CUB,11225009.0
2005,CUB,11252503.0
2006,CUB,11272605.0
2007,CUB,11284496.0
2008,CUB,11290049.0
2009,CUB,11293474.0
2010,CUB,11295965.0
2011,CUB,11298853.0
2012,CUB,11304289.0
2013,CUB,11302062.0
2014,CUB,11294273.0
2015,CUB,11277278.0
2016,CUB,11272851.0
2017,CUB,11258373.0
2018,CUB,11237285.0
2019,CUB,11216950.0
2020,CUB,11188743.0
2021,CUB,11163965.0
2022,CUB,11080372.0
2023,CUB,11039268.0
2024,CUB,11000593.0
2025,CUB,10958973.0
2026,CUB,10915434.0
2027,CUB,10869884.0
2028,CUB,10823523.0
2029,CUB,10775647.0
2030,CUB,10726136.0
2031,CUB,10675508.0
2032,CUB,10623847.0
2033,CUB,10570818.0
2034,CUB,10516253.0
2035,CUB,10460297.0
2036,CUB,10403227.0
2037,CUB,10344631.0
2038,CUB,10284042.0
2039,CUB,10222354.0
2040,CUB,10158586.0
2041,CUB,10093088.0
2042,CUB,10025520.0
2043,CUB,9956271.0
2044,CUB,9885067.0
2045,CUB,9812422.0
2046,CUB,9737976.0
2047,CUB,9661681.0
2048,CUB,9583737.0
2049,CUB,9504546.0
2050,CUB,9423308.0
2051,CUB,9340691.0
2052,CUB,9256403.0
2053,CUB,9170598.0
2054,CUB,9083317.0
2055,CUB,8994668.0
2056,CUB,8905409.0
2057,CUB,8815370.0
2058,CUB,8725268.0
2059,CUB,8635122.0
2060,CUB,8544933.0
2061,CUB,8455075.0
2062,CUB,8366177.0
2063,CUB,8278202.999999999
2064,CUB,8191647.0
2065,CUB,8106216.0
2066,CUB,8022179.0
2067,CUB,7939773.0
2068,CUB,7858674.0
2069,CUB,7779109.0
2070,CUB,7700703.0
2071,CUB,7623527.0
2072,CUB,7547803.0
2073,CUB,7472737.0
2074,CUB,7398623.0
2075,CUB,7324928.0
2076,CUB,7251723.0
2077,CUB,7178855.0
2078,CUB,7105856.0
2079,CUB,7033028.0
2080,CUB,6960256.0
2081,CUB,6887498.0
2082,CUB,6814887.0
